latitude,longitude,hhid,wilcah,geometry,count_electric_power_plant_within_1km,count_refinery_within_1km,count_port_within_1km,count_oil_n_gas_within_1km,count_other_within_1km,count_mine_within_1km,count_mineral_processing_plant_within_1km,count_smelting_plant_within_1km,count_electric_power_plant_within_3km,count_refinery_within_3km,count_port_within_3km,count_oil_n_gas_within_3km,count_other_within_3km,count_mine_within_3km,count_mineral_processing_plant_within_3km,count_smelting_plant_within_3km,count_electric_power_plant_within_5km,count_refinery_within_5km,count_port_within_5km,count_oil_n_gas_within_5km,count_other_within_5km,count_mine_within_5km,count_mineral_processing_plant_within_5km,count_smelting_plant_within_5km,count_electric_power_plant_within_10km,count_refinery_within_10km,count_port_within_10km,count_oil_n_gas_within_10km,count_other_within_10km,count_mine_within_10km,count_mineral_processing_plant_within_10km,count_smelting_plant_within_10km,distance_to_closest_electric_power_plant_km,distance_to_closest_refinery_km,distance_to_closest_port_km,distance_to_closest_oil_n_gas_km,distance_to_closest_other_km,distance_to_closest_mine_km,distance_to_closest_mineral_processing_plant_km,distance_to_closest_smelting_plant_km
-4.051735,105.76117,10507,105,POINT (105.76116999999999 -4.051735),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.34491195093307,156.55760452869774,138.6030859325006,151.75115364268072,135.6199158848086,158.5526454519543,147.49432121066292,219.70143179471773
-4.0225671,123.0887549,42902,429,POINT (123.08875489999997 -4.0225671),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.63175486134793,306.0212963020109,79.63394042139197,57.22151073917869,101.75407880999138,121.22580157243829,75.45195917858612,50.366377262386195
-4.0234717,123.0884947,42903,429,POINT (123.08849469999998 -4.0234717),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.60433074327284,305.996557730853,79.53947535126595,57.20269226068394,101.78230867104375,121.19898210323417,75.44107499505185,50.34117230589924
-4.0236928,123.0882987,42904,429,POINT (123.0882987 -4.0236928),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5828946308398,305.97579030851983,79.50653951409635,57.18345664728379,101.77667662985571,121.17770441572458,75.42392708893583,50.32031515684706
-4.0226811,123.0891902,42901,429,POINT (123.0891902 -4.022681100000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.6803990273245,306.0702395915451,79.6568479900462,57.27098376070772,101.8020248475502,121.27451333532649,75.50189114283748,50.415262862186374
2.9471715,117.3463102,36605,366,POINT (117.34631020000002 2.9471715),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.28392427626181,317.0492528577821,46.35305378187356,46.35305378187356,40.03020677581373,72.55930862507184,308.16496174575565,65.40371371846554
2.947956,117.3462575,36607,366,POINT (117.34625749999998 2.947956),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.37156355821878,317.1368693758705,46.28545918695188,46.28545918695188,39.97231962335158,72.64354853849728,308.2525941118081,65.46021014791805
2.9475317,117.3457467,36604,366,POINT (117.3457467 2.9475317),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.32769733166728,317.09204915168226,46.35706169526515,46.35706169526515,39.956004547783536,72.6183996122911,308.2083155430994,65.4780406335627
5.126788,95.4192082,1310,13,POINT (95.41920819999999 5.126788000000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.48699077706556,185.5411270602608,50.47463760341293,85.58233175844528,24.148736954649085,572.0214422414372,41.03927448913847,490.7354892594037
5.1273061,95.4191623,1304,13,POINT (95.41916229999998 5.127306099999998),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.52169978788834,185.54287694677114,50.417852379364355,85.52425184743032,24.183871420792403,572.065853990516,40.985742006896494,490.7635253873285
